name,lat,lon,x,y
Pristina,42.6666,21.1724,730,380
Longyearbyen,78.2167,15.6333,704,141
Sanaa,15.3547,44.2066,822,478
Dzaoudzi,-12.7871,45.275,805,565
Pretoria,-25.7069,28.2294,745,610
Bethlehem,-28.2196,28.3,747,616
Johannesburg,-26.17,28.03,737,617
Queenstown,-31.8996,26.88,739,626
Cape Town,-33.92,18.435,721,631
Zambezi,-13.54,23.1099,734,573
Lusaka,-15.4166,28.2833,750,659
Livingstone,-17.86,25.86,739,580
Harare,-17.8178,31.0447,755,582
Victoria Falls,-17.9296,25.84,746,588
Astana,51.1811,71.4278,888,373
Almaty,43.325,76.915,921,382
Vientiane,17.9667,102.6,1025,468
Beirut,33.872,35.5097,778,417
Vaduz,47.1337,9.5167,702,363
Colombo,6.932,79.8578,938,503
Sri Jawewardenepura Kotte,6.9,79.95,938,506
Monrovia,6.3106,-10.8048,606,509
Greenville,5.0111,-9.0388,606,509
Maseru,-29.3167,27.4833,746,618
Vilnius,54.6834,25.3166,732,330
Luxembourg,49.6117,6.13,664,356
Riga,56.95,24.1,736,318
Ogre,56.8113,24.6113,736,318
Tripoli,32.8925,13.18,693,426
Al Azzyah,32.5319,13.0175,696,430
Banghazi,32.1167,20.0667,716,425
Ghat,24.9647,10.1728,682,446
Fez,34.0546,-5.0004,623,419
Casablanca,33.6,-7.6164,614,418
Monaco,43.7396,7.4069,687,380
Chi?in?u,47.005,28.8577,746,367
Podgorica,42.466,19.2663,703,385
Marigot,18.0706,-63.0847,434,489
Antananarivo,-18.9166,47.5166,815,583
Majuro,7.103,171.38,1277,499
Skopje,42,21.4335,1277,499
Bamako,12.65,-8,629,474
Rangoon,16.7834,96.1667,997,461
Ulaanbaatar,47.9167,106.9166,1018,367
Macau,22.203,113.545,1049,470
Fort-de-France,14.6104,-61.08,416,482
Chegga,25.3804,-5.78,606,465
Nouakchott,18.0864,-15.9753,624,460
Plymouth,16.7,-62.2167,409,471
Valletta,35.8997,14.5147,694,410
Port Louis,-20.1666,57.5,850,590
Male,4.1667,73.4999,912,507
Lilongwe,-13.9833,33.7833,766,574
Guadalajara,20.67,-103.33,272,470
Merida,20.9666,-89.6166,314,465
Salamanca,20.5704,-101.2,267,458
Mexico City,19.4424,-99.131,272,466
Santa Barbara,26.8004,-105.82,in california,
San Juan del Rio,20.38,-100,277,471
Taiping,4.865,100.72,1012,482
